%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581017662857839121,3705,0,,0.1814,-0.076,0.3722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662882737858,3706,0,,0.1813,-0.0852,0.3699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662907688542,3707,0,,0.1801,-0.092,0.3725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662932396741,3708,0,,0.1802,-0.0841,0.3561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662957371737,3709,0,,0.1834,-0.0853,0.3638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017662982738232,3710,0,,0.1813,-0.0794,0.3723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017663007389706,3711,0,,0.1813,-0.084,0.3724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017663032547241,3712,0,,0.1791,-0.0875,0.3599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017663057566107,3713,0,,0.1834,-0.0841,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017663082621208,3714,0,,0.1802,-0.0817,0.3685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017663107206547,3715,0,,0.1814,-0.0784,0.3673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017663132738226,3716,0,,0.1812,-0.0922,0.3551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017663157923267,3717,0,,0.1834,-0.0864,0.3651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017663182428606,3718,0,,0.1856,-0.082,0.3589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017663207901713,3719,0,,0.1813,-0.0795,0.3648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017663232746085,3720,0,,0.1801,-0.0898,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017663257857579,3721,0,,0.1823,-0.0875,0.3663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
